id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
10744,Ryan Christie,1,1,0,0.0,0,0.0,0,0,0,0,S,Bournemouth,0,0.0,0.0,0.0,69,0.0,0.0,0.0
10750,Rasmus Kristensen,1,90,0,0.0,0,0.0,0,0,0,0,D,Leeds,0,0.0,0.4525858759880066,0.4525858759880066,244,0.0,0.0,0.0
10751,Brenden Aaronson,1,87,0,0.028160689398646355,0,0.0,1,0,0,0,M,Leeds,0,0.028160689398646355,0.028160689398646355,0.0,246,0.02913174765377209,0.02913174765377209,0.0
10756,Joe Worrall,1,90,0,0.0,0,0.0,0,0,1,0,D,Nottingham Forest,0,0.0,0.07497992366552353,0.07497992366552353,388,0.0,0.0,0.0
10757,Scott McKenna,1,90,0,0.0,0,0.0,0,0,0,0,D,Nottingham Forest,0,0.0,0.0,0.0,385,0.0,0.0,0.0
10758,Harry Toffolo,1,90,0,0.0,0,0.0,0,0,0,0,D,Nottingham Forest,0,0.0,0.1177273839712143,0.1177273839712143,523,0.0,0.0,0.0
10759,Lewis O&#039;Brien,1,77,0,0.01648869924247265,0,0.0,1,0,1,0,M,Nottingham Forest,0,0.01648869924247265,0.1342160850763321,0.1177273839712143,,0.019272505608084915,0.019272505608084915,0.0
10760,Brennan Johnson,1,90,0,0.0,0,0.0,0,0,0,0,F,Nottingham Forest,0,0.0,0.0,0.0,394,0.0,0.0,0.0
10761,Alex Mighten,1,5,0,0.0,0,0.0,0,0,0,0,S,Nottingham Forest,0,0.0,0.0,0.0,395,0.0,0.0,0.0
10765,Gavin Bazunu,1,90,0,0.0,0,0.0,0,0,0,0,GK,Southampton,0,0.0,0.0,0.0,422,0.0,0.0,0.0
10766,Joe Ayodele-Aribo,1,90,0,0.045212220400571816,0,0.0,1,0,0,0,F,Southampton,0,0.045212220400571816,0.07950671762228012,0.0342944972217083,512,0.045212220400571816,0.045212220400571816,0.0
10802,Lisandro Martínez,1,90,0,0.07725168764591217,0,0.0,3,0,1,0,D,Manchester United,0,0.07725168764591217,0.3055410981178284,0.29203978180885315,533,0.07725168764591217,0.07725168764591217,0.0
10803,Tyrell Malacia,1,1,0,0.0,0,0.0,0,0,0,0,S,Manchester United,0,0.0,0.0,0.0,504,0.0,0.0,0.0
10804,Deniz Undav,1,1,0,0.0,0,0.0,0,0,0,0,S,Brighton,0,0.0,0.0,0.0,123,0.0,0.0,0.0
10805,Levi Colwill,1,1,0,0.0,0,0.0,0,0,0,0,S,Brighton,0,0.0,0.0,0.0,559,0.0,0.0,0.0
10809,Keane Lewis-Potter,1,30,0,0.0,0,0.0,0,0,0,0,S,Brentford,0,0.0,0.0,0.0,515,0.0,0.0,0.0
10845,Flynn Downes,1,1,0,0.0,0,0.0,0,0,0,0,S,West Ham,0,0.0,0.0,0.0,509,0.0,0.0,0.0
10846,Julián Álvarez,1,8,0,0.08071304857730865,0,0.0,1,0,0,0,S,Manchester City,0,0.08071304857730865,0.0995681956410408,0.018855145201087,319,0.9080217964947224,0.9080217964947224,0.0
